CLUBS FROM THE STRONGEST 5 LEAGUES, SORTED BY OVERALL AVERAGE OF THEIR BEST 20 PLAYERS:
[overall, potential, pac, sho, pas, dri, def, phy]
21. Inter - [0.6874999999999999, 0.7510416666499998, 0.7326666666, 0.6512658227999999, 0.63732394365, 0.70763888885, 0.63525641025, 0.6923076923]
22. Athletic Club de Bilbao - [0.6822916667499999, 0.7322916667499999, 0.6446666666999998, 0.6265822785, 0.6338028169000001, 0.6548611110500001, 0.6403846153499999, 0.7115384614999999]
23. Lazio - [0.68020833325, 0.7333333333, 0.6993333334999999, 0.6284810126, 0.60422535205, 0.6784722222, 0.6378205128000001, 0.72076923085]
24. Real Sociedad - [0.6729166666999999, 0.7489583333, 0.61933333325, 0.614556962, 0.64788732395, 0.6638888889500001, 0.5794871794, 0.5915384616]
25. West Ham United - [0.67083333335, 0.70000000005, 0.6493333332500001, 0.6341772151499999, 0.5999999999500001, 0.66666666665, 0.6397435898499999, 0.7484615384]
26. Bayer 04 Leverkusen - [0.665625, 0.753125, 0.712, 0.6297468353, 0.6338028168500001, 0.6854166665999999, 0.5673076922, 0.7184615385500001]
27. Borussia Monchengladbach - [0.6614583332500001, 0.7197916666, 0.6879999999, 0.63291139245, 0.6809859154000002, 0.7013888888499998, 0.57500000015, 0.6807692307500001]
28. RCD Espanyol - [0.6572916666500002, 0.70520833335, 0.63133333325, 0.6006329113000001, 0.6330985914999999, 0.6541666667000002, 0.6320512819999999, 0.6715384615500002]
29. Olympique de Marseille - [0.6552083333499998, 0.7031249999999999, 0.66466666665, 0.64493670885, 0.6345070422499999, 0.67222222215, 0.5993589745, 0.7123076922500001]
30. Valencia CF - [0.65416666665, 0.7468749999000001, 0.7086666666499999, 0.6607594936500001, 0.6436619718, 0.69027777785, 0.6256410257, 0.6384615384500001]
31. FC Schalke 04 - [0.65208333335, 0.7343750000000001, 0.7033333333, 0.6291139241, 0.6091549296000001, 0.68888888895, 0.5705128205500001, 0.6553846154000001]
32. Southampton - [0.6510416666000001, 0.71562499995, 0.6759999999499999, 0.6202531645500002, 0.6232394365999999, 0.6930555555000002, 0.5948717949500001, 0.6884615383500001]
33. VfL Wolfsburg - [0.6500000000499999, 0.7333333334499998, 0.6926666666500003, 0.6145569620500001, 0.6232394365999999, 0.6715277778499998, 0.6044871795500001, 0.7176923075999999]
34. Leicester City - [0.6479166666499998, 0.7052083332999999, 0.6533333333000001, 0.6208860760000001, 0.5830985916500001, 0.6590277777500001, 0.58717948715, 0.73230769235]
35. Watford - [0.6468750000499999, 0.6750000000499999, 0.65733333335, 0.6455696203500001, 0.5795774648, 0.6625000000000001, 0.60705128205, 0.75769230775]
36. TSG 1899 Hoffenheim - [0.64375, 0.71354166675, 0.63533333325, 0.6234177215500001, 0.5985915493, 0.6652777776000001, 0.58205128185, 0.7061538462000001]
37. OGC Nice - [0.640625, 0.7416666666999999, 0.6866666667, 0.62025316455, 0.6598591549000001, 0.7006944444500001, 0.6096153846000001, 0.6869230769000001]
38. West Bromwich Albion - [0.6385416666499999, 0.6614583332999999, 0.6033333334, 0.5930379746499999, 0.5957746478499999, 0.62777777765, 0.6314102563500001, 0.7323076922499998]
39. Fiorentina - [0.6364583333499999, 0.73229166655, 0.68000000005, 0.6075949367500001, 0.57957746475, 0.65763888895, 0.5685897434499999, 0.6892307691999999]
40. Stoke City - [0.6364583332999999, 0.6822916666500001, 0.5906666667, 0.6164556962500001, 0.61056338025, 0.6506944443499999, 0.5871794871499999, 0.6953846154000001]
41. SD Eibar - [0.6354166666000001, 0.6656249999000001, 0.6140000000000001, 0.6240506328999998, 0.6049295774999999, 0.6534722222, 0.6, 0.7369230769000001]
42. RB Leipzig - [0.6343750001, 0.72708333335, 0.71000000005, 0.590506329, 0.59929577455, 0.67291666655, 0.5237179488000001, 0.67538461555]
43. Torino - [0.6343749999999999, 0.70312499995, 0.7066666665500001, 0.5556962025499999, 0.5992957746500001, 0.6805555555, 0.62564102565, 0.69461538455]
44. RC Deportivo de La Coruna - [0.6322916667499999, 0.66979166675, 0.6146666666, 0.6462025317500001, 0.6316901408000002, 0.6673611111, 0.5583333334, 0.63538461535]
45. UD Las Palmas - [0.6302083332999999, 0.6666666666999997, 0.63799999995, 0.5886075948499998, 0.6246478873499999, 0.6548611111000001, 0.5756410256499999, 0.66153846155]
46. Hertha BSC Berlin - [0.6260416667, 0.6802083332500001, 0.7060000001, 0.6113924050999999, 0.5830985915500001, 0.6840277777499999, 0.50641025635, 0.6561538461499998]
47. RC Celta de Vigo - [0.62604166655, 0.7302083331, 0.6213333333, 0.6113924051, 0.6014084506999999, 0.6638888888000001, 0.5621794871999999, 0.6553846153999999]
48. Olympique Lyonnais - [0.6249999999999999, 0.7239583333499998, 0.71666666665, 0.58734177205, 0.5887323944000002, 0.6722222222500001, 0.6051282053, 0.72076923075]
49. Swansea City - [0.6229166667, 0.66875000005, 0.6233333334, 0.5999999999499999, 0.5697183098500002, 0.6458333332999999, 0.5974358975999999, 0.70538461545]
50. Eintracht Frankfurt - [0.6229166665999999, 0.6812499999000001, 0.6353333332, 0.6189873418, 0.6, 0.6423611112, 0.6076923076999999, 0.7038461538]
51. 1. FC Koln - [0.621875, 0.6739583334, 0.6559999999999999, 0.5911392405, 0.6176056338, 0.6437500000999999, 0.60512820525, 0.6915384614499999]
52. Malaga CF - [0.6208333333, 0.68125, 0.6673333334999999, 0.5924050633, 0.6345070421999999, 0.6763888889999999, 0.5801282051, 0.6484615384000001]
53. Real Betis Balompie - [0.6187500000499999, 0.6937500000499999, 0.69, 0.6240506328500001, 0.62253521125, 0.6763888888499998, 0.5512820512500001, 0.6276923075999997]
54. Crystal Palace - [0.6166666667, 0.6624999999500001, 0.624, 0.5613924050500001, 0.5901408451500001, 0.5999999999000002, 0.6538461537999999, 0.7407692306999999]
55. Sassuolo - [0.609375, 0.6604166666500001, 0.6479999999499999, 0.58101265835, 0.56830985915, 0.6291666666999999, 0.5814102564, 0.6730769230500001]
56. 1. FSV Mainz 05 - [0.6083333333500001, 0.678125, 0.706, 0.5803797467999999, 0.60774647895, 0.6520833333499999, 0.5769230769999998, 0.6638461538500001]
57. SV Werder Bremen - [0.6062500000500001, 0.6635416667499999, 0.6666666666500001, 0.60443037965, 0.6147887324499999, 0.6763888889499998, 0.57243589755, 0.67999999995]
58. Burnley - [0.6052083335, 0.6343750000500001, 0.6480000000499999, 0.6411392405, 0.6225352113, 0.6652777778, 0.6480769230999999, 0.75846153845]
59. Bournemouth - [0.6052083333, 0.6656250000000001, 0.7206666666499999, 0.6360759494, 0.6063380282999999, 0.6868055555499998, 0.51538461535, 0.6684615385499999]
60. CD Leganes - [0.6010416667500001, 0.63750000015, 0.62266666665, 0.5943037974500001, 0.5985915493, 0.625, 0.5794871795, 0.68384615375]
61. Newcastle United - [0.6010416666500001, 0.68958333335, 0.6580000001, 0.5974683543999999, 0.5577464789000001, 0.6451388888999999, 0.58076923075, 0.68615384615]
62. Chievo Verona - [0.59999999995, 0.6312499999000001, 0.6006666666499999, 0.56645569615, 0.53450704225, 0.6305555556, 0.56794871795, 0.6584615385]
63. Deportivo Alaves - [0.59895833335, 0.6583333334499999, 0.6413333334, 0.5696202532000001, 0.5774647888000001, 0.62083333345, 0.55769230785, 0.64923076925]
64. Atalanta - [0.5989583333499999, 0.6864583333499998, 0.6319999999499999, 0.55949367095, 0.5626760563000002, 0.6361111112, 0.6012820513000001, 0.7]
65. Genoa - [0.59791666675, 0.6447916667, 0.6733333333999999, 0.58797468345, 0.57112676055, 0.64652777785, 0.5647435896499999, 0.6307692307499999]
66. Bologna - [0.596875, 0.6718749999, 0.6619999999, 0.5322784809, 0.5626760564000002, 0.6472222221999998, 0.58589743585, 0.6807692308500001]
67. Girondins de Bordeaux - [0.59270833335, 0.67812499995, 0.6560000000000001, 0.58227848085, 0.6091549296500001, 0.67291666665, 0.5628205128, 0.6569230768]
68. Sampdoria - [0.5916666667, 0.6635416667000001, 0.6806666666499999, 0.57784810125, 0.59084507035, 0.6569444444999999, 0.5679487181, 0.6584615384499999]
69. AS Saint-Etienne - [0.5916666666000001, 0.6583333333, 0.69466666665, 0.5981012657499998, 0.60281690145, 0.6458333333, 0.6307692308499999, 0.6907692308]
70. FC Augsburg - [0.5906249999999998, 0.62083333335, 0.6513333333500001, 0.6284810126999999, 0.59436619725, 0.6486111110999999, 0.5711538460000001, 0.6753846154]
71. Udinese - [0.5885416666999999, 0.68437499995, 0.596, 0.5955696202, 0.53169014085, 0.61527777775, 0.5570512820500001, 0.68]
72. Hamburger SV - [0.5885416666500002, 0.6552083334, 0.6426666667, 0.5740506328999999, 0.5823943662000001, 0.6277777778, 0.5493589743499999, 0.6884615385000001]
73. Girona CF - [0.5874999999, 0.6729166665999999, 0.6600000001, 0.5632911392000001, 0.5957746478500001, 0.6090277777499999, 0.6076923077, 0.6607692307999999]
74. Levante UD - [0.5843750000499999, 0.6750000001, 0.72266666665, 0.6506329114, 0.5563380282000001, 0.6583333333, 0.5076923077, 0.6507692305500001]
75. Brighton & Hove Albion - [0.5833333333, 0.6177083333000001, 0.6086666667000001, 0.5999999999499999, 0.6035211267, 0.6381944444500001, 0.5903846153000001, 0.6992307691500002]
76. Toulouse FC - [0.58124999995, 0.6895833333000001, 0.6546666666500001, 0.58734177205, 0.5894366197500001, 0.6319444444, 0.5743589742999999, 0.69307692305]
77. Hannover 96 - [0.57916666665, 0.6197916666999999, 0.62933333345, 0.5829113925, 0.5577464790000001, 0.63194444445, 0.5544871795, 0.6869230769999999]
78. FC Nantes - [0.5770833334500001, 0.6354166667, 0.6433333333500001, 0.6018987340499999, 0.5591549297, 0.6347222223, 0.5564102564500001, 0.6415384617000001]
79. Getafe CF - [0.5697916667, 0.6145833333999999, 0.6373333333499999, 0.60822784815, 0.5943661972000002, 0.6222222222, 0.5737179488499999, 0.6615384616]
80. VfB Stuttgart - [0.5697916666999999, 0.6791666665999998, 0.69333333335, 0.57911392405, 0.5514084507, 0.6451388888999999, 0.5480769231499999, 0.6461538461499999]
81. Angers SCO - [0.5697916666499999, 0.6145833332999999, 0.618, 0.54810126575, 0.57816901415, 0.6145833333, 0.5660256409, 0.66846153835]
82. Stade Rennais FC - [0.5677083333499999, 0.646875, 0.6899999999000002, 0.5930379747, 0.58661971835, 0.6486111110500001, 0.55641025645, 0.6484615384499999]
83. Cagliari - [0.565625, 0.6114583333000001, 0.6866666665500001, 0.56645569615, 0.5260563380000001, 0.6347222222000001, 0.50384615385, 0.63076923075]
84. En Avant de Guingamp - [0.56041666665, 0.6177083333000001, 0.63066666665, 0.5645569620499999, 0.58873239435, 0.6340277778499999, 0.5564102564499999, 0.6100000000000001]
85. Montpellier Herault SC - [0.553125, 0.6322916666, 0.6993333334500001, 0.5683544303500001, 0.5788732394999998, 0.6437500000499999, 0.54871794865, 0.6761538462000002]
86. SC Freiburg - [0.5520833334000002, 0.621875, 0.64599999995, 0.5746835442500001, 0.5556338028500001, 0.61249999985, 0.52115384615, 0.65076923085]
87. Huddersfield Town - [0.5499999999500002, 0.60104166665, 0.6866666666500002, 0.56645569615, 0.5492957747, 0.6055555555000001, 0.5455128205499999, 0.70384615395]
88. SM Caen - [0.5468749999500001, 0.6104166667, 0.6539999999499999, 0.57594936715, 0.5894366197500001, 0.62569444445, 0.56602564105, 0.6415384614999999]
89. Amiens SC Football - [0.54375, 0.6083333333000001, 0.666, 0.5879746836499999, 0.5661971831500001, 0.63888888885, 0.5173076923000001, 0.6415384614499999]
90. Dijon FCO - [0.5406249999999999, 0.5854166666, 0.5973333333499999, 0.5544303797000001, 0.55070422535, 0.5965277778999999, 0.54294871795, 0.6523076922500001]
91. LOSC Lille - [0.53958333335, 0.6885416666000002, 0.7186666666000001, 0.5721518987, 0.5591549295499999, 0.6479166666500001, 0.53205128205, 0.62000000005]
92. Ferrara (SPAL) - [0.5374999999499999, 0.6364583333, 0.60399999995, 0.5158227847499999, 0.5176056338, 0.5861111111499999, 0.5493589744499999, 0.6369230770000001]
93. Hellas Verona - [0.534375, 0.60416666665, 0.6506666667500001, 0.48924050625, 0.5169014085, 0.60625, 0.5615384614499999, 0.5715384615]
94. FC Metz - [0.53125, 0.5937499999500001, 0.63466666665, 0.5265822784, 0.5697183098500002, 0.6090277778000001, 0.5583333333, 0.6484615384]
95. Benevento Calcio - [0.5260416666000001, 0.61874999995, 0.6773333332999999, 0.5563291139500001, 0.5070422536000001, 0.6173611109499999, 0.45448717950000006, 0.58461538455]
96. RC Strasbourg - [0.5156250000500001, 0.5645833333000001, 0.5873333332499999, 0.5120253162999999, 0.4908450704000001, 0.5340277778000001, 0.5615384615, 0.6746153845999999]
97. Crotone - [0.4937500000500001, 0.5729166666500001, 0.6166666666499999, 0.49620253155, 0.4809859156, 0.5548611109999999, 0.53910256415, 0.6607692307999999]
98. ES Troyes AC - [0.49374999995, 0.5541666667, 0.5846666666999999, 0.51075949365, 0.5197183098999999, 0.5444444445000001, 0.53461538455, 0.59153846165]

CLUBS FROM Italian Serie A, SORTED BY OVERALL AVERAGE OF THEIR BEST 20 PLAYERS:
[overall, potential, pac, sho, pas, dri, def, phy]
1. Juventus - [0.7958333333000001, 0.8208333333500001, 0.7560000001, 0.6620253164000001, 0.6725352111000001, 0.7444444444499998, 0.68397435895, 0.75999999995]
2. Napoli - [0.7208333332500001, 0.7802083333000001, 0.7480000001500001, 0.59367088605, 0.6309859153999999, 0.6993055555499998, 0.6666666667, 0.67230769235]
3. Roma - [0.71458333325, 0.75416666665, 0.7026666666000001, 0.61708860765, 0.6211267604999999, 0.6861111111000001, 0.6679487179999999, 0.73000000005]
4. Milan - [0.69375, 0.7739583333000001, 0.682, 0.5981012658500001, 0.60492957745, 0.6715277777499999, 0.6576923076999999, 0.71923076925]
5. Inter - [0.6874999999999999, 0.7510416666499998, 0.7326666666, 0.6512658227999999, 0.63732394365, 0.70763888885, 0.63525641025, 0.6923076923]
6. Lazio - [0.68020833325, 0.7333333333, 0.6993333334999999, 0.6284810126, 0.60422535205, 0.6784722222, 0.6378205128000001, 0.72076923085]
7. Fiorentina - [0.6364583333499999, 0.73229166655, 0.68000000005, 0.6075949367500001, 0.57957746475, 0.65763888895, 0.5685897434499999, 0.6892307691999999]
8. Torino - [0.6343749999999999, 0.70312499995, 0.7066666665500001, 0.5556962025499999, 0.5992957746500001, 0.6805555555, 0.62564102565, 0.69461538455]
9. Sassuolo - [0.609375, 0.6604166666500001, 0.6479999999499999, 0.58101265835, 0.56830985915, 0.6291666666999999, 0.5814102564, 0.6730769230500001]
10. Chievo Verona - [0.59999999995, 0.6312499999000001, 0.6006666666499999, 0.56645569615, 0.53450704225, 0.6305555556, 0.56794871795, 0.6584615385]
11. Atalanta - [0.5989583333499999, 0.6864583333499998, 0.6319999999499999, 0.55949367095, 0.5626760563000002, 0.6361111112, 0.6012820513000001, 0.7]
12. Genoa - [0.59791666675, 0.6447916667, 0.6733333333999999, 0.58797468345, 0.57112676055, 0.64652777785, 0.5647435896499999, 0.6307692307499999]
13. Bologna - [0.596875, 0.6718749999, 0.6619999999, 0.5322784809, 0.5626760564000002, 0.6472222221999998, 0.58589743585, 0.6807692308500001]
14. Sampdoria - [0.5916666667, 0.6635416667000001, 0.6806666666499999, 0.57784810125, 0.59084507035, 0.6569444444999999, 0.5679487181, 0.6584615384499999]
15. Udinese - [0.5885416666999999, 0.68437499995, 0.596, 0.5955696202, 0.53169014085, 0.61527777775, 0.5570512820500001, 0.68]
16. Cagliari - [0.565625, 0.6114583333000001, 0.6866666665500001, 0.56645569615, 0.5260563380000001, 0.6347222222000001, 0.50384615385, 0.63076923075]
17. Ferrara (SPAL) - [0.5374999999499999, 0.6364583333, 0.60399999995, 0.5158227847499999, 0.5176056338, 0.5861111111499999, 0.5493589744499999, 0.6369230770000001]
18. Hellas Verona - [0.534375, 0.60416666665, 0.6506666667500001, 0.48924050625, 0.5169014085, 0.60625, 0.5615384614499999, 0.5715384615]
19. Benevento Calcio - [0.5260416666000001, 0.61874999995, 0.6773333332999999, 0.5563291139500001, 0.5070422536000001, 0.6173611109499999, 0.45448717950000006, 0.58461538455]
20. Crotone - [0.4937500000500001, 0.5729166666500001, 0.6166666666499999, 0.49620253155, 0.4809859156, 0.5548611109999999, 0.53910256415, 0.6607692307999999]

CLUBS FROM French Ligue 1, SORTED BY OVERALL AVERAGE OF THEIR BEST 20 PLAYERS:
[overall, potential, pac, sho, pas, dri, def, phy]
1. Paris Saint-Germain - [0.76770833335, 0.8291666667000002, 0.7313333334, 0.6930379747000001, 0.7169014083, 0.78263888885, 0.6333333334, 0.7099999999499998]
2. AS Monaco - [0.6916666665500002, 0.77500000005, 0.6853333334000001, 0.6569620253, 0.6338028168500001, 0.7076388888999999, 0.5865384617, 0.70076923075]
3. Olympique de Marseille - [0.6552083333499998, 0.7031249999999999, 0.66466666665, 0.64493670885, 0.6345070422499999, 0.67222222215, 0.5993589745, 0.7123076922500001]
4. OGC Nice - [0.640625, 0.7416666666999999, 0.6866666667, 0.62025316455, 0.6598591549000001, 0.7006944444500001, 0.6096153846000001, 0.6869230769000001]
5. Olympique Lyonnais - [0.6249999999999999, 0.7239583333499998, 0.71666666665, 0.58734177205, 0.5887323944000002, 0.6722222222500001, 0.6051282053, 0.72076923075]
6. Girondins de Bordeaux - [0.59270833335, 0.67812499995, 0.6560000000000001, 0.58227848085, 0.6091549296500001, 0.67291666665, 0.5628205128, 0.6569230768]
7. AS Saint-Etienne - [0.5916666666000001, 0.6583333333, 0.69466666665, 0.5981012657499998, 0.60281690145, 0.6458333333, 0.6307692308499999, 0.6907692308]
8. Toulouse FC - [0.58124999995, 0.6895833333000001, 0.6546666666500001, 0.58734177205, 0.5894366197500001, 0.6319444444, 0.5743589742999999, 0.69307692305]
9. FC Nantes - [0.5770833334500001, 0.6354166667, 0.6433333333500001, 0.6018987340499999, 0.5591549297, 0.6347222223, 0.5564102564500001, 0.6415384617000001]
10. Angers SCO - [0.5697916666499999, 0.6145833332999999, 0.618, 0.54810126575, 0.57816901415, 0.6145833333, 0.5660256409, 0.66846153835]
11. Stade Rennais FC - [0.5677083333499999, 0.646875, 0.6899999999000002, 0.5930379747, 0.58661971835, 0.6486111110500001, 0.55641025645, 0.6484615384499999]
12. En Avant de Guingamp - [0.56041666665, 0.6177083333000001, 0.63066666665, 0.5645569620499999, 0.58873239435, 0.6340277778499999, 0.5564102564499999, 0.6100000000000001]
13. Montpellier Herault SC - [0.553125, 0.6322916666, 0.6993333334500001, 0.5683544303500001, 0.5788732394999998, 0.6437500000499999, 0.54871794865, 0.6761538462000002]
14. SM Caen - [0.5468749999500001, 0.6104166667, 0.6539999999499999, 0.57594936715, 0.5894366197500001, 0.62569444445, 0.56602564105, 0.6415384614999999]
15. Amiens SC Football - [0.54375, 0.6083333333000001, 0.666, 0.5879746836499999, 0.5661971831500001, 0.63888888885, 0.5173076923000001, 0.6415384614499999]
16. Dijon FCO - [0.5406249999999999, 0.5854166666, 0.5973333333499999, 0.5544303797000001, 0.55070422535, 0.5965277778999999, 0.54294871795, 0.6523076922500001]
17. LOSC Lille - [0.53958333335, 0.6885416666000002, 0.7186666666000001, 0.5721518987, 0.5591549295499999, 0.6479166666500001, 0.53205128205, 0.62000000005]
18. FC Metz - [0.53125, 0.5937499999500001, 0.63466666665, 0.5265822784, 0.5697183098500002, 0.6090277778000001, 0.5583333333, 0.6484615384]
19. RC Strasbourg - [0.5156250000500001, 0.5645833333000001, 0.5873333332499999, 0.5120253162999999, 0.4908450704000001, 0.5340277778000001, 0.5615384615, 0.6746153845999999]
20. ES Troyes AC - [0.49374999995, 0.5541666667, 0.5846666666999999, 0.51075949365, 0.5197183098999999, 0.5444444445000001, 0.53461538455, 0.59153846165]

CLUBS FROM Spanish Primera Division, SORTED BY OVERALL AVERAGE OF THEIR BEST 20 PLAYERS:
[overall, potential, pac, sho, pas, dri, def, phy]
1. Real Madrid CF - [0.8031249999999999, 0.8677083332500001, 0.7366666666499999, 0.68544303815, 0.73732394355, 0.7631944446, 0.6608974357999999, 0.7207692308]
2. FC Barcelona - [0.79375000005, 0.8520833333000002, 0.73866666675, 0.7354430378499999, 0.75704225345, 0.7916666666000001, 0.6358974357999999, 0.6799999999999999]
3. Atletico Madrid - [0.7635416666499999, 0.8218750001, 0.7486666665499999, 0.6943037974500001, 0.69154929565, 0.73888888885, 0.6070512819999999, 0.7076923077]
4. Sevilla FC - [0.69895833325, 0.7343749999000001, 0.6086666666499999, 0.6620253164000001, 0.70140845065, 0.6930555555000001, 0.6108974359499999, 0.6999999999500001]
5. Villarreal CF - [0.690625, 0.7416666667, 0.68600000005, 0.6499999999, 0.6415492956999999, 0.68888888895, 0.61410256415, 0.6869230769]
6. Athletic Club de Bilbao - [0.6822916667499999, 0.7322916667499999, 0.6446666666999998, 0.6265822785, 0.6338028169000001, 0.6548611110500001, 0.6403846153499999, 0.7115384614999999]
7. Real Sociedad - [0.6729166666999999, 0.7489583333, 0.61933333325, 0.614556962, 0.64788732395, 0.6638888889500001, 0.5794871794, 0.5915384616]
8. RCD Espanyol - [0.6572916666500002, 0.70520833335, 0.63133333325, 0.6006329113000001, 0.6330985914999999, 0.6541666667000002, 0.6320512819999999, 0.6715384615500002]
9. Valencia CF - [0.65416666665, 0.7468749999000001, 0.7086666666499999, 0.6607594936500001, 0.6436619718, 0.69027777785, 0.6256410257, 0.6384615384500001]
10. SD Eibar - [0.6354166666000001, 0.6656249999000001, 0.6140000000000001, 0.6240506328999998, 0.6049295774999999, 0.6534722222, 0.6, 0.7369230769000001]
11. RC Deportivo de La Coruna - [0.6322916667499999, 0.66979166675, 0.6146666666, 0.6462025317500001, 0.6316901408000002, 0.6673611111, 0.5583333334, 0.63538461535]
12. UD Las Palmas - [0.6302083332999999, 0.6666666666999997, 0.63799999995, 0.5886075948499998, 0.6246478873499999, 0.6548611111000001, 0.5756410256499999, 0.66153846155]
13. RC Celta de Vigo - [0.62604166655, 0.7302083331, 0.6213333333, 0.6113924051, 0.6014084506999999, 0.6638888888000001, 0.5621794871999999, 0.6553846153999999]
14. Malaga CF - [0.6208333333, 0.68125, 0.6673333334999999, 0.5924050633, 0.6345070421999999, 0.6763888889999999, 0.5801282051, 0.6484615384000001]
15. Real Betis Balompie - [0.6187500000499999, 0.6937500000499999, 0.69, 0.6240506328500001, 0.62253521125, 0.6763888888499998, 0.5512820512500001, 0.6276923075999997]
16. CD Leganes - [0.6010416667500001, 0.63750000015, 0.62266666665, 0.5943037974500001, 0.5985915493, 0.625, 0.5794871795, 0.68384615375]
17. Deportivo Alaves - [0.59895833335, 0.6583333334499999, 0.6413333334, 0.5696202532000001, 0.5774647888000001, 0.62083333345, 0.55769230785, 0.64923076925]
18. Girona CF - [0.5874999999, 0.6729166665999999, 0.6600000001, 0.5632911392000001, 0.5957746478500001, 0.6090277777499999, 0.6076923077, 0.6607692307999999]
19. Levante UD - [0.5843750000499999, 0.6750000001, 0.72266666665, 0.6506329114, 0.5563380282000001, 0.6583333333, 0.5076923077, 0.6507692305500001]
20. Getafe CF - [0.5697916667, 0.6145833333999999, 0.6373333333499999, 0.60822784815, 0.5943661972000002, 0.6222222222, 0.5737179488499999, 0.6615384616]

CLUBS FROM English Premier League, SORTED BY OVERALL AVERAGE OF THEIR BEST 20 PLAYERS:
[overall, potential, pac, sho, pas, dri, def, phy]
1. Chelsea - [0.7791666666999999, 0.8270833333000001, 0.7513333333, 0.6829113924, 0.6718309859, 0.7430555555499999, 0.64294871795, 0.7523076923]
2. Manchester United - [0.7708333333500001, 0.81770833335, 0.70800000005, 0.6848101265500001, 0.70704225345, 0.7270833333000001, 0.6653846154, 0.7876923077500001]
3. Manchester City - [0.76041666665, 0.828125, 0.7493333333500001, 0.6867088607999999, 0.7105633802, 0.75347222225, 0.6224358974500002, 0.7338461538500001]
4. Arsenal - [0.75312499995, 0.7822916665999999, 0.6760000000999999, 0.6607594937000001, 0.6830985915500001, 0.7173611111500001, 0.6070512819999999, 0.7430769232000001]
5. Tottenham Hotspur - [0.74375, 0.8072916667000001, 0.7379999998999999, 0.69873417725, 0.6894366196500001, 0.7305555554500001, 0.6858974360500001, 0.7715384615499998]
